decade,FOTB,FSTB,FLTB,VPH,Variety
1,0,0.3,0.7,0,Other
2,0,0.32,0.68,0.21,Other
3,0,0.56,0.44,0.43,Other
4,0,0.66,0.34,0.65,Other
5,0,0.78,0.22,0.87,Other
6,0.18,0.9,0.06,1.11,Other
7,0.75,0.25,0,1.38,Other
8,0.96,0.04,0,1.67,Other
9,1,0,0,1.94,Other
10,0.23,0,0,2.2,Other
1,0,0.3,0.7,0,Zolotaya
2,0,0.32,0.68,0.21,Zolotaya
3,0,0.55,0.45,0.42,Zolotaya
4,0,0.67,0.33,0.63,Zolotaya
5,0,0.77,0.23,0.83,Zolotaya
6,0.03,0.83,0.14,1.05,Zolotaya
7,0.67,0.33,0,1.32,Zolotaya
8,0.92,0.08,0,1.59,Zolotaya
9,1,0,0,1.86,Zolotaya
10,0.48,0,0,2.13,Zolotaya
